data,prediction
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,onepop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,onepop
bneck,bneck
bneck,onepop
bneck,onepop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,onepop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,onepop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,bneck
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
bneck,twoPop
