data,prediction
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,100
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,100
1000,1000
1000,1000
1000,100
1000,1000
1000,100
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,100
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,10
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,100
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,100
1000,1000
1000,100
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,100
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
1000,1000
10,10
10,10
10,10
10,1000
10,1000
10,1000
10,1000
10,1000
10,10
10,1000
10,10
10,1000
10,10
10,10
10,1000
10,10
10,10
10,10
10,1000
10,10
10,10
10,10
10,10
10,10
10,10
10,10
10,1000
10,10
10,100
10,1000
10,10
10,1000
10,10
10,1000
10,10
10,1000
10,1000
10,10
10,1000
10,10
10,10
10,10
10,1000
10,10
10,1000
10,1000
10,1000
10,10
10,10
10,10
10,1000
10,10
10,10
10,10
10,10
10,10
10,1000
10,10
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,100
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,100
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,10
10,10
10,1000
10,1000
10,10
10,1000
10,1000
10,10
10,1000
10,1000
10,100
10,10
10,1000
10,10
10,1000
10,1000
10,10
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,10
10,1000
10,10
10,10
10,1000
10,100
10,1000
10,10
10,10
10,10
10,10
10,10
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,10
10,1000
10,1000
10,10
10,1000
10,1000
10,10
10,1000
10,10
10,10
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,10
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,10
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,10
10,10
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,100
10,1000
10,1000
10,1000
10,100
10,1000
10,100
10,1000
10,1000
10,100
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,10
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,1000
10,10
10,1000
10,1000
10,1000
10,100
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
10000,10000
