chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,AA_bcfvcf_20231002191703IfZEj.txt.params
chr1,1.36444037617219e-06,2.44558567230168e-13,0.00199035948419069,1.67688333266875e-05,0.618250751372282,0.000892500773103689,0.000169120637279665,4.23750409083215e-06,0.996291722478633,0.079078,0.248073739299091,AA_bcfvcf_20231002191703IfZEj.txt.params
chr2,2.46919085636025e-07,2.0974482697275e-11,0.016416161246337,1.12239753804158e-05,0.209216854948358,0.000280602414328842,0.000381222218788014,1.72896966452414e-05,0.40345624813278,0.079078,0.156027266124564,AA_bcfvcf_20231002191703IfZEj.txt.params
chr3,1.26849327216386e-06,4.06969354801757e-11,0.0724352421777675,1.30705883988983e-05,0.400813867927341,0.000493390847169177,0.000349548185795938,2.30366391870859e-05,0.266575129239544,0.079078,0.291086,AA_bcfvcf_20231002191703IfZEj.txt.params
chr4,1.19526910489514e-07,1.02576515478381e-13,0.000305682680041397,7.53142434098534e-06,0.109874721378731,0.000183383162370634,0.000542452167823678,1.72256405503602e-05,0.131417730194805,0.079078,0.123945693831121,AA_bcfvcf_20231002191703IfZEj.txt.params
chr5,6.73969142120644e-07,5.23549753114327e-11,0.0693068586987345,1.34104350300285e-05,0.333752058982239,0.000477672960729042,0.000506341443782867,2.6934810405394e-05,0.403812371239316,0.079078,0.247596,AA_bcfvcf_20231002191703IfZEj.txt.params
chr6,7.12307838428389e-07,3.61604044404512e-11,0.0437077040774326,1.91060899669844e-05,0.527668547113211,0.000513115258350178,0.000197644617665937,8.92741951140643e-06,0.216435010373444,0.079078,0.337189161290322,AA_bcfvcf_20231002191703IfZEj.txt.params
chr7,2.48578989851925e-07,3.55093632258626e-11,0.0403823980668344,1.82733775765245e-05,0.437833187808653,0.000280903295943392,0.000140426530541178,4.63032761912033e-06,0.262912630555556,0.079078,0.315305378225578,AA_bcfvcf_20231002191703IfZEj.txt.params
chr8,3.69151895801521e-07,2.76254846952869e-11,0.0368142377514105,1.39643773028538e-05,0.381886102723767,0.000308725502883379,0.000182528205015744,9.46914434012348e-06,0.645012987637363,0.079078,0.268468786290322,AA_bcfvcf_20231002191703IfZEj.txt.params
chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,Am_bcfvcf_20231002191703IfZEj.txt.params
chr1,7.51435804684848e-07,1.47119697146897e-12,0.00171604932465551,7.01597660198734e-06,0.146846964764944,0.000443205744086396,0.000910970482645471,6.39073895231438e-05,-0.232304586678967,0.00945833333333334,0.0411485458887188,Am_bcfvcf_20231002191703IfZEj.txt.params
chr2,2.11541859338852e-07,3.10552784563768e-12,0.00169013569053876,8.32116160716506e-06,0.144306800597446,0.000296845970205659,0.00063115489451302,2.36257999918647e-05,-0.20306520556338,0.00945833333333334,0.049815134666956,Am_bcfvcf_20231002191703IfZEj.txt.params
chr3,5.32186617143614e-07,3.57712904317938e-12,0.00301121224129865,7.30670127893616e-06,0.138833821739662,0.000415174756507015,0.00147471598716842,4.20466512153519e-05,-0.26147751385159,0.00945833333333334,0.0499638253968256,Am_bcfvcf_20231002191703IfZEj.txt.params
chr4,3.48306505463632e-07,2.78355594466649e-12,0.0139617206300589,9.0244996640774e-06,0.179783422217524,0.00021622108005761,0.000384328942135333,1.38166845551735e-05,-0.155774573361582,0.00945833333333334,0.0787635978076421,Am_bcfvcf_20231002191703IfZEj.txt.params
chr5,5.53903954941631e-07,4.75345293870979e-12,0.00684025413489154,8.67751184178222e-06,0.160207354591872,0.0004047418904403,0.000823791591722459,4.0306660222173e-05,-0.09949347996,0.00945833333333334,0.0555138253968256,Am_bcfvcf_20231002191703IfZEj.txt.params
chr6,3.83981854016712e-07,3.43061131979123e-12,0.00137832337951631,9.84982075995399e-06,0.17207494648499,0.000340599271419462,0.000536566650323572,2.5451824555994e-05,-0.0835532348708487,0.00945833333333334,0.0557706974797988,Am_bcfvcf_20231002191703IfZEj.txt.params
chr7,2.16615808143466e-07,5.84752659310492e-12,0.0101586610182607,1.09538127420558e-05,0.213473758905963,0.000237128638036265,0.000224318748471981,1.21362673521251e-05,-0.0978563773134328,0.00945833333333334,0.0813653309867904,Am_bcfvcf_20231002191703IfZEj.txt.params
chr8,2.12758235801655e-07,2.21621848097679e-12,0.00144722684463211,9.0486139565674e-06,0.162070932174395,0.000238497630406753,0.000408916196559642,1.54284755717353e-05,-0.321002647580247,0.00945833333333334,0.0537641719786869,Am_bcfvcf_20231002191703IfZEj.txt.params
chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,AN_bcfvcf_20231002191703IfZEj.txt.params
chr1,1.33997268967306e-05,1.07217885338525e-12,0.0128493913476745,8.30816426126303e-06,0.776479640056687,0.00194492097117433,0.000186934318886903,2.25982221964196e-06,0.131094072043011,0.2155,0.389433882156233,AN_bcfvcf_20231002191703IfZEj.txt.params
chr2,5.26756436130193e-06,3.03360563589762e-13,0.0088911983990531,8.80818992925248e-06,0.785880531847968,0.0014149315327853,0.000178879652371861,1.22028156548715e-06,0.0209365338582677,0.2155,0.394303755172106,AN_bcfvcf_20231002191703IfZEj.txt.params
chr3,9.17050020951703e-06,1.73658654060621e-12,0.0184934615940316,9.18730105212731e-06,0.773709683524492,0.00190903799007624,0.000218853848131405,2.00324404371146e-06,0.282469703783784,0.2155,0.398333040886392,AN_bcfvcf_20231002191703IfZEj.txt.params
chr4,3.14887179926357e-06,1.05849892823487e-12,0.015739535565804,9.75740153402121e-06,0.749818694164462,0.000897234939926301,0.000142161730265088,9.52944911470409e-07,0.0403192278350515,0.2155,0.398142313613665,AN_bcfvcf_20231002191703IfZEj.txt.params
chr5,8.74907858939577e-06,3.80703782862822e-12,0.0239453766475464,1.01847509679218e-05,0.717780482038478,0.00160652751932973,0.000292851990383882,2.73697165500414e-06,0.135967654901961,0.2155,0.408585374219725,AN_bcfvcf_20231002191703IfZEj.txt.params
chr6,1.06762676829695e-05,1.75653811085954e-13,5.62585567152051e-05,7.86948721129565e-06,0.855790910660421,0.00227683664383326,0.00017500189438128,1.66701259994413e-06,1.06529825362319,0.2155,0.417715419819054,AN_bcfvcf_20231002191703IfZEj.txt.params
chr7,4.919028292887e-06,2.13125997661649e-13,5.44399995295838e-06,7.88391819089056e-06,0.867894404936801,0.00149450720977758,0.000105593677898532,6.23279741892364e-07,0.926288782876712,0.2155,0.421550580068161,AN_bcfvcf_20231002191703IfZEj.txt.params
chr8,4.09594788127041e-06,1.33311545411262e-12,0.0161840253930887,8.71365257986364e-06,0.767935305353859,0.00114303543943048,0.000171774122742014,8.18657285371457e-07,-0.0499664393305439,0.2155,0.398240151997503,AN_bcfvcf_20231002191703IfZEj.txt.params
chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,Br_bcfvcf_20231002191703IfZEj.txt.params
